id,sku,name,category,description,zone,section,position,inventoriable,stock_on_hand,stock_on_order,total_purchased,tracking_unit,purchase_unit,purchase_to_tracking_conversion,stock_status,state,unit_cost,actual_unit_cost,low_stock_limit,currency,starting_quantity,starting_unit_price,preferred_vendor,last_stocktake,Created At,Updated At
21558069,214,Cranberries in Sugar,,"","","","",yes,0.0,0.0,0.0,g,kg,1000.0,Out of Stock,active,0.0,0.0,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:47 +0100,2026-07-17 14:30:47 +0100
21558096,226,Lingonberries (Frozen),,"","","","",yes,0.0,0.0,0.0,g,kg,1000.0,Out of Stock,active,0.0,0.0,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:48 +0100,2026-07-17 14:30:48 +0100
21558048,204a,Smoked Bacon,,"","","","",yes,0.0,0.0,0.0,g,kg,1000.0,Out of Stock,active,0.0,0.0,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:47 +0100,2026-07-17 14:30:47 +0100
21558063,212,Coconut Oil,,"","","","",yes,0.0,0.0,0.0,g,kg,1000.0,Out of Stock,active,0.0,0.0,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:47 +0100,2026-07-17 14:30:47 +0100
21558045,204,Bacon Pieces,,"","","","",yes,0.0,0.0,0.0,g,kg,1000.0,Out of Stock,active,0.0,0.0,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:47 +0100,2026-07-17 14:30:47 +0100
21558054,206,Beef (5% Fat),,"","","","",yes,0.0,0.0,0.0,g,kg,1000.0,Out of Stock,active,0.0,0.0,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:47 +0100,2026-07-17 14:30:47 +0100
21558021,127,Applewood Smoked Vegan Cheese,,"","","","",yes,0.0,0.0,0.0,g,kg,1000.0,Out of Stock,active,0.0,0.0,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:47 +0100,2026-07-17 14:30:47 +0100
21558057,207,Chicken Breast,,"","","","",yes,0.0,0.0,0.0,g,kg,1000.0,Out of Stock,active,0.0,0.0,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:47 +0100,2026-07-17 14:30:47 +0100
21558024,128,Mediterranean Vegan Block (Violife),,"","","","",yes,0.0,0.0,0.0,g,kg,1000.0,Out of Stock,active,0.0,0.0,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:47 +0100,2026-07-17 14:30:47 +0100
21558039,209,Breadcrumbs (Panko),,"","","","",yes,2500.0,0.0,0.0,g,kg,1000.0,In Stock,active,0.0,0.0,0.0,GBP,2500.0,0.0,"","",2026-07-17 14:30:47 +0100,2026-07-17 14:30:47 +0100
21558036,202,Breadcrumbs (Natural),,"","","","",yes,11000.0,0.0,0.0,g,kg,1000.0,In Stock,active,0.0,0.0,0.0,GBP,11000.0,0.0,"","",2026-07-17 14:30:47 +0100,2026-07-17 14:30:47 +0100
21558030,134a,"Chestnut Mushroom (Diced, Frozen)",,"","","","",yes,0.0,0.0,0.0,g,kg,1000.0,Out of Stock,active,0.0,0.0,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:47 +0100,2026-07-17 14:30:47 +0100
21557982,107,Ginger (Ground),,"","","","",yes,1600.0,0.0,0.0,g,kg,1000.0,In Stock,active,0.0,0.0,0.0,GBP,1600.0,0.0,"","",2026-07-17 14:30:47 +0100,2026-07-17 14:30:47 +0100
21558009,119,Milled Flaxseed (Organic),,"","","","",yes,0.0,0.0,0.0,g,kg,1000.0,Out of Stock,active,0.0,0.0,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:47 +0100,2026-07-17 14:30:47 +0100
21558027,134,Chestnut Mushroom,,"","","","",yes,0.0,0.0,0.0,g,kg,1000.0,Out of Stock,active,0.0,0.0,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:47 +0100,2026-07-17 14:30:47 +0100
21558012,121,Instant Coffee,,"","","","",yes,0.0,0.0,0.0,g,kg,1000.0,Out of Stock,active,0.0,0.0,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:47 +0100,2026-07-17 14:30:47 +0100
21558003,113,Swede (Fresh),,"","","","",yes,0.0,0.0,0.0,g,kg,1000.0,Out of Stock,active,0.0,0.0,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:47 +0100,2026-07-17 14:30:47 +0100
21558000,111a,Caramel Cream (DELECTA),,"","","","",yes,0.0,0.0,0.0,g,kg,1000.0,Out of Stock,active,0.0,0.0,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:47 +0100,2026-07-17 14:30:47 +0100
21557997,111,Caramel Cream,,"","","","",yes,5500.0,0.0,0.0,g,kg,1000.0,In Stock,active,0.0,0.0,0.0,GBP,5500.0,0.0,"","",2026-07-17 14:30:47 +0100,2026-07-17 14:30:47 +0100
21557961,101,Dark Honey,,"","","","",yes,0.0,0.0,0.0,g,kg,1000.0,Out of Stock,active,0.0,0.0,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:46 +0100,2026-07-17 14:30:47 +0100
21558816,613,Ginger Puree,,"","","","",yes,4000.0,0.0,4000.0,g,kg,1000.0,In Stock,active,0.00937,0.00937,0.0,GBP,0.0,0.0,"","",2026-07-17 16:11:32 +0100,2026-07-17 16:32:29 +0100
21558432,364,Apricot Jam,,"","","","",yes,12500.0,0.0,12500.0,g,kg,1000.0,In Stock,active,0.0027,0.0027,0.0,GBP,0.0,0.0,S.Hukins,"",2026-07-17 14:30:51 +0100,2026-08-05 12:50:33 +0100
21558609,621,Taco Crumb,,"","","","",yes,2430.0,0.0,1620.0,g,kg,1000.0,In Stock,active,0.00723,0.00723,0.0,GBP,810.0,0.0,"","",2026-07-17 14:30:52 +0100,2026-08-05 12:50:33 +0100
21558471,407,Smoked Cheese (Any),,"","","","",yes,-1245.0,0.0,3695.0,g,kg,1000.0,Out of Stock,active,0.01085,0.01085,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:51 +0100,2026-07-22 11:36:30 +0100
21558066,213,Cottage Cheese (Tworog),,"","","","",yes,446.0,0.0,4000.0,g,kg,1000.0,In Stock,active,0.00437,0.00437,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:47 +0100,2026-07-22 11:36:30 +0100
21557838,043,Mozarella Mix 70/30 Pizza Cheese,,"","","","",yes,0.0,0.0,22000.0,g,kg,1000.0,Out of Stock,active,0.00429,0.00429,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:45 +0100,2026-07-22 11:36:30 +0100
21557724,009,Feta Cheese,,"","","","",yes,0.0,0.0,16200.0,g,kg,1000.0,Out of Stock,active,0.00906,0.00906,0.0,GBP,0.0,0.0,"","",2026-07-17 14:30:44 +0100,2026-07-22 11:36:30 +0100
21558651,640,Ulrick & Short (Clear),,"","","","",yes,13725.0,0.0,0.0,g,kg,1000.0,In Stock,active,0.00741,0.00741,0.0,GBP,14000.0,0.00741,"","",2026-07-17 14:30:52 +0100,2026-07-22 11:36:30 +0100
